Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[single cell well quality]	Characteristics[genotype]	Characteristics[phenotype]	Characteristics[strain]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[spike sequence file]	Comment[spike concentration file]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[spike-in addition]	Factor Value[phenotype]	Factor Value[block]
SLX-11312.N707_S517.H5H5YBBXX.s_8.r_1	ERS1628491	SAMEA103939323	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N707_S517.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N707_S517.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958469	SLX-11312.N707_S517.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N707_S517.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898079	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/009/ERR1898079/ERR1898079.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	wild type phenotype	20160325
SLX-11312.N708_S502.H5H5YBBXX.s_8.r_1	ERS1628492	SAMEA103939324	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S502.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S502.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958470	SLX-11312.N708_S502.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S502.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898080	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/000/ERR1898080/ERR1898080.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	wild type phenotype	20160325
SLX-11312.N708_S503.H5H5YBBXX.s_8.r_1	ERS1628493	SAMEA103939325	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S503.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S503.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958471	SLX-11312.N708_S503.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S503.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898081	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/001/ERR1898081/ERR1898081.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	wild type phenotype	20160325
SLX-11312.N708_S504.H5H5YBBXX.s_8.r_1	ERS1628494	SAMEA103939326	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S504.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S504.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958472	SLX-11312.N708_S504.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S504.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/002/ERR1898082/ERR1898082.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	wild type phenotype	20160325
SLX-11312.N708_S505.H5H5YBBXX.s_8.r_1	ERS1628495	SAMEA103939327	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S505.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S505.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958473	SLX-11312.N708_S505.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S505.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/003/ERR1898083/ERR1898083.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N708_S506.H5H5YBBXX.s_8.r_1	ERS1628496	SAMEA103939328	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S506.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S506.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958474	SLX-11312.N708_S506.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S506.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/004/ERR1898084/ERR1898084.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N708_S507.H5H5YBBXX.s_8.r_1	ERS1628497	SAMEA103939329	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S507.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S507.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958475	SLX-11312.N708_S507.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S507.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/005/ERR1898085/ERR1898085.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N708_S508.H5H5YBBXX.s_8.r_1	ERS1628498	SAMEA103939330	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S508.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S508.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958476	SLX-11312.N708_S508.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S508.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898086	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/006/ERR1898086/ERR1898086.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N708_S517.H5H5YBBXX.s_8.r_1	ERS1628499	SAMEA103939331	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N708_S517.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N708_S517.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958477	SLX-11312.N708_S517.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N708_S517.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/007/ERR1898087/ERR1898087.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	SIRV+ERCC	wild type phenotype	20160325
SLX-11312.N709_S502.H5H5YBBXX.s_8.r_1	ERS1628500	SAMEA103939332	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S502.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S502.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958478	SLX-11312.N709_S502.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S502.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/008/ERR1898088/ERR1898088.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N709_S503.H5H5YBBXX.s_8.r_1	ERS1628501	SAMEA103939333	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S503.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S503.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958479	SLX-11312.N709_S503.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S503.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/009/ERR1898089/ERR1898089.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N709_S504.H5H5YBBXX.s_8.r_1	ERS1628502	SAMEA103939334	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S504.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S504.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958480	SLX-11312.N709_S504.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S504.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/000/ERR1898090/ERR1898090.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N709_S505.H5H5YBBXX.s_8.r_1	ERS1628503	SAMEA103939335	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S505.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S505.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958481	SLX-11312.N709_S505.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S505.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/001/ERR1898091/ERR1898091.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N709_S506.H5H5YBBXX.s_8.r_1	ERS1628504	SAMEA103939336	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S506.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S506.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958482	SLX-11312.N709_S506.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S506.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/002/ERR1898092/ERR1898092.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N709_S507.H5H5YBBXX.s_8.r_1	ERS1628505	SAMEA103939337	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S507.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S507.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958483	SLX-11312.N709_S507.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S507.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/003/ERR1898093/ERR1898093.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N709_S508.H5H5YBBXX.s_8.r_1	ERS1628506	SAMEA103939338	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S508.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S508.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958484	SLX-11312.N709_S508.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S508.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898094	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/004/ERR1898094/ERR1898094.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	induced CBFB-MYH11 oncogene expression	20160325
SLX-11312.N709_S517.H5H5YBBXX.s_8.r_1	ERS1628507	SAMEA103939339	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N709_S517.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N709_S517.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958485	SLX-11312.N709_S517.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N709_S517.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898095	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/005/ERR1898095/ERR1898095.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N710_S502.H5H5YBBXX.s_8.r_1	ERS1628508	SAMEA103939340	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N710_S502.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N710_S502.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958486	SLX-11312.N710_S502.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N710_S502.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898096	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/006/ERR1898096/ERR1898096.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N710_S503.H5H5YBBXX.s_8.r_1	ERS1628509	SAMEA103939341	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N710_S503.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N710_S503.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958487	SLX-11312.N710_S503.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N710_S503.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898097	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/007/ERR1898097/ERR1898097.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N710_S504.H5H5YBBXX.s_8.r_1	ERS1628510	SAMEA103939342	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N710_S504.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N710_S504.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958488	SLX-11312.N710_S504.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N710_S504.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898098	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/008/ERR1898098/ERR1898098.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	wild type phenotype	20160325
SLX-11312.N710_S505.H5H5YBBXX.s_8.r_1	ERS1628511	SAMEA103939343	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-11312.N710_S505.H5H5YBBXX.s_8.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54887	CRUK CI	SLX-11312.N710_S505.H5H5YBBXX.s_8.r_1	sequencing assay	ERX1958489	SLX-11312.N710_S505.H5H5YBBXX.s_8.r_1.fq.gz	SLX-11312.N710_S505.H5H5YBBXX.s_8.r_1.fq.gz	ERR1898099	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/009/ERR1898099/ERR1898099.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160325.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	Premixed	induced CBFB-MYH11 oncogene expression	20160325
